x,y,z,avg_af,avg_relV,H_index,var_af,drift_flux,avg_dPdy
0.00000000e+00,0.00000000e+00,0.00000000e+00,9.93450337e-01,4.19534740e-01,7.98846091e-01,1.42634580e-04,-8.01911862e-05,2.05158015e+01
4.80000000e-03,0.00000000e+00,0.00000000e+00,9.94479753e-01,9.18627279e-01,4.88548561e-01,1.32157891e-04,-7.94799741e-05,3.76168015e+01
9.60000000e-03,0.00000000e+00,0.00000000e+00,9.97024442e-01,1.15199099e+00,5.82495788e-01,6.96894581e-05,-6.58168112e-05,4.99352665e+01
1.44000000e-02,0.00000000e+00,0.00000000e+00,9.91271463e-01,3.16574612e-01,7.71594818e-01,1.97842013e-04,1.36968749e-04,1.68897284e+01
1.92000000e-02,0.00000000e+00,0.00000000e+00,9.89586070e-01,2.96680126e-01,5.22028928e-01,3.13163405e-04,1.37043146e-04,-3.32970404e+00
2.40000000e-02,0.00000000e+00,0.00000000e+00,9.87271649e-01,2.35610498e-01,3.58803659e-01,4.84200371e-04,2.97235138e-04,3.90856636e+01
2.88000000e-02,0.00000000e+00,0.00000000e+00,9.90927401e-01,3.19052211e-01,5.24626958e-01,2.29108629e-04,-9.26522459e-05,-5.45975105e+00
3.36000000e-02,0.00000000e+00,0.00000000e+00,9.91595584e-01,3.04280266e-01,6.34760833e-01,1.84849688e-04,-1.44435492e-04,1.14606168e+01
0.00000000e+00,4.80000000e-03,0.00000000e+00,9.91821317e-01,5.15575339e-01,5.10279150e-01,1.97797078e-04,6.20995959e-05,-3.20922474e+01
4.80000000e-03,4.80000000e-03,0.00000000e+00,9.92912542e-01,6.63874031e-01,8.54295037e-01,1.45267067e-04,-9.59397595e-06,-5.32679282e+00
9.60000000e-03,4.80000000e-03,0.00000000e+00,9.90543856e-01,6.60757814e-01,6.09927422e-01,2.16755011e-04,-1.79198271e-04,2.15339748e+01
1.44000000e-02,4.80000000e-03,0.00000000e+00,9.93319411e-01,5.04235641e-01,6.01986365e-01,1.55287174e-04,7.66360473e-05,6.76357465e+00
1.92000000e-02,4.80000000e-03,0.00000000e+00,9.88199812e-01,3.42123010e-01,4.27441199e-01,3.14036950e-04,-2.02053142e-05,-5.39110923e+01
2.40000000e-02,4.80000000e-03,0.00000000e+00,9.72713094e-01,1.96628147e-01,4.90520260e-01,1.20461422e-03,3.43247076e-04,-1.54784835e+02
2.88000000e-02,4.80000000e-03,0.00000000e+00,9.86786909e-01,3.16981415e-01,5.83377173e-01,3.20266123e-04,-1.16892827e-04,-1.01480419e+02
3.36000000e-02,4.80000000e-03,0.00000000e+00,9.85102179e-01,2.53236521e-01,6.74963491e-01,4.15133736e-04,-2.86009913e-04,-8.03883731e+01
0.00000000e+00,9.60000000e-03,0.00000000e+00,9.92282789e-01,5.91212282e-01,3.59428204e-01,2.03822643e-04,1.94372564e-04,-3.65542001e-01
4.80000000e-03,9.60000000e-03,0.00000000e+00,9.95371228e-01,8.24087715e-01,6.66246049e-01,9.99529243e-05,-1.06157411e-05,6.35865805e+00
9.60000000e-03,9.60000000e-03,0.00000000e+00,9.89712350e-01,4.91122228e-01,5.26648164e-01,2.44575995e-04,2.84547914e-04,-3.10137766e+01
1.44000000e-02,9.60000000e-03,0.00000000e+00,9.92417361e-01,5.01317476e-01,6.57400759e-01,1.71516710e-04,2.16023254e-05,-4.09976320e+01
1.92000000e-02,9.60000000e-03,0.00000000e+00,9.90216343e-01,3.44325725e-01,6.48560717e-01,2.19692991e-04,-1.49562794e-04,2.16748067e+00
2.40000000e-02,9.60000000e-03,0.00000000e+00,9.84855885e-01,1.61374616e-01,4.33211192e-01,3.83772076e-04,-1.82808093e-04,2.71234329e+00
2.88000000e-02,9.60000000e-03,0.00000000e+00,9.88717619e-01,2.62927016e-01,7.27175733e-01,2.84299853e-04,-8.84082889e-05,-1.05239960e+01
3.36000000e-02,9.60000000e-03,0.00000000e+00,9.92260704e-01,3.38639063e-01,5.78979056e-01,1.87059115e-04,1.18158555e-05,-7.82511957e+00
0.00000000e+00,1.44000000e-02,0.00000000e+00,9.93943046e-01,6.94196976e-01,4.46948215e-01,1.72842350e-04,2.60682557e-04,9.09850346e+01
4.80000000e-03,1.44000000e-02,0.00000000e+00,9.95264705e-01,7.33512029e-01,8.59347790e-01,9.58343719e-05,6.71747017e-05,9.39663572e+01
9.60000000e-03,1.44000000e-02,0.00000000e+00,9.86518931e-01,3.62659827e-01,5.45797543e-01,3.09845368e-04,2.00908417e-04,-1.78304810e+01
1.44000000e-02,1.44000000e-02,0.00000000e+00,9.95041929e-01,5.13472456e-01,7.82857901e-01,1.02428768e-04,-5.17312290e-05,-8.07221378e+00
1.92000000e-02,1.44000000e-02,0.00000000e+00,9.90598564e-01,2.96207597e-01,7.56739186e-01,2.13088302e-04,1.93871902e-04,-1.43629861e+01
2.40000000e-02,1.44000000e-02,0.00000000e+00,9.88538315e-01,1.68828839e-01,4.85983199e-01,2.58782104e-04,-1.57031600e-04,3.21108982e+01
2.88000000e-02,1.44000000e-02,0.00000000e+00,9.95081597e-01,2.93863285e-01,7.46887880e-01,1.07913987e-04,3.88298991e-05,2.21780361e+01
3.36000000e-02,1.44000000e-02,0.00000000e+00,9.93256494e-01,3.94059875e-01,6.27133532e-01,1.46817601e-04,1.05047485e-04,1.36258464e+01
0.00000000e+00,1.92000000e-02,0.00000000e+00,9.77838198e-01,3.59575953e-01,5.09651106e-01,1.10880045e-03,1.18297028e-03,-1.40828685e+02
4.80000000e-03,1.92000000e-02,0.00000000e+00,9.77000177e-01,4.08521800e-01,5.37101602e-01,1.41158799e-03,1.97604901e-04,-1.93393242e+02
9.60000000e-03,1.92000000e-02,0.00000000e+00,9.89405452e-01,3.81630598e-01,8.93465066e-01,3.89015020e-04,5.85971746e-04,-3.65034983e+01
1.44000000e-02,1.92000000e-02,0.00000000e+00,9.96543895e-01,6.41753155e-01,6.28649523e-01,7.02518653e-05,-2.71835762e-05,2.07857614e+01
1.92000000e-02,1.92000000e-02,0.00000000e+00,9.94054035e-01,3.74704129e-01,4.69160851e-01,1.40338877e-04,1.76616539e-04,2.41017874e+01
2.40000000e-02,1.92000000e-02,0.00000000e+00,9.84631068e-01,1.41982822e-01,6.22214648e-01,3.49010533e-04,5.52881479e-06,4.84458425e+00
2.88000000e-02,1.92000000e-02,0.00000000e+00,9.95354095e-01,3.93567090e-01,5.39923805e-01,1.00443830e-04,1.77515833e-05,2.13401983e+01
3.36000000e-02,1.92000000e-02,0.00000000e+00,9.91852721e-01,4.08486962e-01,6.67753405e-01,1.85465795e-04,1.14529158e-04,2.74208752e+01
0.00000000e+00,2.40000000e-02,0.00000000e+00,9.81989111e-01,2.12782006e-01,5.21628683e-01,5.12209261e-04,4.95440826e-05,8.66878280e+00
4.80000000e-03,2.40000000e-02,0.00000000e+00,9.92574108e-01,3.84248889e-01,1.12793176e+00,1.65553886e-04,2.81709639e-05,1.70393420e+01
9.60000000e-03,2.40000000e-02,0.00000000e+00,9.92654996e-01,4.43822461e-01,6.07350475e-01,1.73129434e-04,2.18817751e-04,8.07347621e+00
1.44000000e-02,2.40000000e-02,0.00000000e+00,9.96846501e-01,8.58030780e-01,4.26307603e-01,7.17033980e-05,9.09791902e-05,2.31821383e+01
1.92000000e-02,2.40000000e-02,0.00000000e+00,9.92822477e-01,3.78041365e-01,5.38632659e-01,1.69503850e-04,1.44165714e-04,2.08434870e+01
2.40000000e-02,2.40000000e-02,0.00000000e+00,9.86550970e-01,1.58884494e-01,6.33542889e-01,2.98533741e-04,4.41643694e-05,5.54406740e+00
2.88000000e-02,2.40000000e-02,0.00000000e+00,9.93313141e-01,4.26189171e-01,5.66993342e-01,1.55301590e-04,2.53364106e-05,1.05194889e+01
3.36000000e-02,2.40000000e-02,0.00000000e+00,9.89292072e-01,3.25143819e-01,6.96872508e-01,2.35347452e-04,1.02225601e-05,-1.33802299e+01
0.00000000e+00,2.88000000e-02,0.00000000e+00,9.87341042e-01,2.48796618e-01,6.52811132e-01,3.10053894e-04,7.30504487e-05,-9.90542508e+00
4.80000000e-03,2.88000000e-02,0.00000000e+00,9.93625377e-01,5.36752379e-01,8.06989888e-01,1.36326252e-04,8.33691961e-05,-3.19206927e-01
9.60000000e-03,2.88000000e-02,0.00000000e+00,9.92531795e-01,4.17633113e-01,7.18082873e-01,1.56436065e-04,1.63711666e-04,-1.29497826e+01
1.44000000e-02,2.88000000e-02,0.00000000e+00,9.96267307e-01,1.02543596e+00,4.43131812e-01,9.32390251e-05,2.52710328e-04,9.61821695e-02
1.92000000e-02,2.88000000e-02,0.00000000e+00,9.86750687e-01,3.01570048e-01,5.19121183e-01,3.35990751e-04,-1.60618591e-04,-1.85168199e+01
2.40000000e-02,2.88000000e-02,0.00000000e+00,9.89339268e-01,2.31947201e-01,6.55137309e-01,2.28117660e-04,3.10481083e-05,-1.22216527e+01
2.88000000e-02,2.88000000e-02,0.00000000e+00,9.89969101e-01,3.04762358e-01,5.49835088e-01,2.35039004e-04,-2.50104439e-04,-2.45653492e+01
3.36000000e-02,2.88000000e-02,0.00000000e+00,9.88294439e-01,3.26518083e-01,5.55865490e-01,2.59898432e-04,-1.28702664e-04,-3.75715782e+01
0.00000000e+00,3.36000000e-02,0.00000000e+00,9.91002701e-01,3.38808889e-01,7.48742199e-01,1.97703632e-04,2.71723473e-04,-1.41623449e+01
4.80000000e-03,3.36000000e-02,0.00000000e+00,9.90798641e-01,6.32520608e-01,3.40662351e-01,3.82281165e-04,-3.11493548e-05,-2.34188464e+01
9.60000000e-03,3.36000000e-02,0.00000000e+00,9.94436558e-01,7.14011959e-01,5.01842278e-01,1.33060975e-04,3.76919663e-04,-2.87605667e+01
1.44000000e-02,3.36000000e-02,0.00000000e+00,9.93001483e-01,8.81477213e-01,4.61006189e-01,1.62356472e-04,6.36044975e-04,-3.69267538e+01
1.92000000e-02,3.36000000e-02,0.00000000e+00,9.87749583e-01,3.36266028e-01,4.32713761e-01,3.12787089e-04,-1.95863042e-04,-1.10359162e+01
2.40000000e-02,3.36000000e-02,0.00000000e+00,9.89567941e-01,2.71854040e-01,6.96373619e-01,2.12457311e-04,-1.70610492e-05,7.23429065e-01
2.88000000e-02,3.36000000e-02,0.00000000e+00,9.88499777e-01,2.67250627e-01,5.21943102e-01,2.69510680e-04,-4.62958161e-04,-2.32080763e+01
3.36000000e-02,3.36000000e-02,0.00000000e+00,9.93988421e-01,4.83204151e-01,6.42875301e-01,1.42048702e-04,-2.22651380e-04,-1.73108624e+01
0.00000000e+00,3.84000000e-02,0.00000000e+00,9.92264413e-01,4.28428932e-01,6.55494175e-01,1.65408498e-04,1.06909609e-04,2.51175220e+00
4.80000000e-03,3.84000000e-02,0.00000000e+00,9.86837934e-01,3.82723080e-01,6.19338962e-01,3.42490126e-04,1.83149078e-04,-4.86077974e+00
9.60000000e-03,3.84000000e-02,0.00000000e+00,9.95907243e-01,1.03292635e+00,5.23223987e-01,8.97169361e-05,5.23211654e-04,6.38691465e+00
1.44000000e-02,3.84000000e-02,0.00000000e+00,9.93174849e-01,6.44523935e-01,6.43924654e-01,1.44952371e-04,2.64103123e-04,3.24877195e+01
1.92000000e-02,3.84000000e-02,0.00000000e+00,9.92812083e-01,3.64889002e-01,6.81766502e-01,1.57550060e-04,-7.03638181e-05,5.12098314e+01
2.40000000e-02,3.84000000e-02,0.00000000e+00,9.90166153e-01,3.46975056e-01,5.46381734e-01,2.44541261e-04,-7.16856205e-05,1.66360212e+01
2.88000000e-02,3.84000000e-02,0.00000000e+00,9.88967447e-01,2.34766027e-01,6.17278253e-01,2.64643830e-04,-3.07235174e-04,1.05700320e+01
3.36000000e-02,3.84000000e-02,0.00000000e+00,9.96449359e-01,6.36444039e-01,6.83006282e-01,7.35191476e-05,-7.74460817e-05,6.77940039e+00
