x,y,z,avg_af,avg_relV,H_index,var_af,drift_flux,avg_dPdy
0.00000000e+00,0.00000000e+00,0.00000000e+00,9.95750769e-01,7.23023427e-01,4.88471363e-01,9.53943497e-05,-1.27877673e-04,3.99957022e+01
4.80000000e-03,0.00000000e+00,0.00000000e+00,9.93360518e-01,5.55154264e-01,7.60085456e-01,1.34475775e-04,-1.40094570e-05,8.33933134e+00
9.60000000e-03,0.00000000e+00,0.00000000e+00,9.93169852e-01,5.55993448e-01,8.61652856e-01,1.36054165e-04,-3.38985885e-05,-1.17185408e+01
1.44000000e-02,0.00000000e+00,0.00000000e+00,9.91584864e-01,4.21194948e-01,7.73496014e-01,1.86465639e-04,1.54770957e-04,-3.35610616e+01
1.92000000e-02,0.00000000e+00,0.00000000e+00,9.85276068e-01,2.07315027e-01,6.97375123e-01,3.30971691e-04,-1.39783555e-04,-5.30385254e+01
2.40000000e-02,0.00000000e+00,0.00000000e+00,9.82162768e-01,1.67811722e-01,6.21324830e-01,5.89254299e-04,-3.93685187e-05,-6.86194833e+01
2.88000000e-02,0.00000000e+00,0.00000000e+00,9.83179783e-01,2.77345882e-01,3.02575856e-01,5.42553856e-04,-4.20843877e-04,-2.71126055e+01
3.36000000e-02,0.00000000e+00,0.00000000e+00,9.94880374e-01,6.15292824e-01,4.36264814e-01,1.34163323e-04,-2.69095334e-04,2.20002491e+01
0.00000000e+00,4.80000000e-03,0.00000000e+00,9.90350605e-01,5.20127620e-01,6.94080862e-01,2.16325247e-04,1.34461090e-05,-6.80663978e+01
4.80000000e-03,4.80000000e-03,0.00000000e+00,9.93787819e-01,7.09972098e-01,6.29018363e-01,1.33569859e-04,7.30375710e-05,-4.71844390e+01
9.60000000e-03,4.80000000e-03,0.00000000e+00,9.93866642e-01,6.97141212e-01,6.97588779e-01,1.27803479e-04,-1.59302547e-04,-2.87237291e+01
1.44000000e-02,4.80000000e-03,0.00000000e+00,9.93238393e-01,4.96812029e-01,6.85223622e-01,1.51349007e-04,-4.08337251e-05,-2.64717821e+01
1.92000000e-02,4.80000000e-03,0.00000000e+00,9.89366586e-01,2.38289898e-01,6.46879633e-01,2.18181742e-04,-6.76537862e-05,-1.94458846e+01
2.40000000e-02,4.80000000e-03,0.00000000e+00,9.83795684e-01,1.66103811e-01,3.54737158e-01,5.49556483e-04,3.79389218e-04,4.24177099e+00
2.88000000e-02,4.80000000e-03,0.00000000e+00,9.84708686e-01,2.31574420e-01,6.64348772e-01,3.91513294e-04,8.43213582e-05,-2.24487321e+00
3.36000000e-02,4.80000000e-03,0.00000000e+00,9.86563239e-01,3.62508632e-01,6.00732255e-01,3.88106238e-04,-1.24254371e-04,-4.72900529e+01
0.00000000e+00,9.60000000e-03,0.00000000e+00,9.92167144e-01,5.09336550e-01,6.63682167e-01,1.79649773e-04,-8.89742149e-05,-5.88201915e+01
4.80000000e-03,9.60000000e-03,0.00000000e+00,9.96559513e-01,1.02886920e+00,8.12906351e-01,6.88344730e-05,-5.17612157e-05,-3.04321472e+01
9.60000000e-03,9.60000000e-03,0.00000000e+00,9.96343092e-01,1.00211259e+00,5.89742979e-01,7.98744098e-05,-1.69717340e-04,-7.60935317e+00
1.44000000e-02,9.60000000e-03,0.00000000e+00,9.96003258e-01,6.46076198e-01,6.83864606e-01,8.41650650e-05,5.47807665e-05,8.08637583e+00
1.92000000e-02,9.60000000e-03,0.00000000e+00,9.90513295e-01,2.82039673e-01,5.75454176e-01,1.99154674e-04,-8.15461878e-05,1.53271205e+00
2.40000000e-02,9.60000000e-03,0.00000000e+00,9.86437664e-01,1.68431979e-01,4.61362243e-01,3.49526811e-04,3.45962418e-05,-8.34260651e+00
2.88000000e-02,9.60000000e-03,0.00000000e+00,9.88929009e-01,2.46239711e-01,8.88820280e-01,2.44248782e-04,-6.99476596e-05,-5.47765764e+01
3.36000000e-02,9.60000000e-03,0.00000000e+00,9.87610660e-01,2.76157545e-01,5.55641205e-01,3.26520500e-04,-1.31288798e-04,-5.90960371e+01
0.00000000e+00,1.44000000e-02,0.00000000e+00,9.95138794e-01,5.60805931e-01,6.34745470e-01,1.05125787e-04,1.29472317e-04,7.27461970e+01
4.80000000e-03,1.44000000e-02,0.00000000e+00,9.97896754e-01,1.24686642e+00,7.64385797e-01,4.24647913e-05,-1.06815206e-05,7.78495728e+01
9.60000000e-03,1.44000000e-02,0.00000000e+00,9.96560971e-01,1.17108237e+00,3.18147463e-01,1.37081019e-04,1.03056917e-04,5.38530310e+01
1.44000000e-02,1.44000000e-02,0.00000000e+00,9.89893182e-01,4.77987675e-01,4.97081504e-01,2.75230969e-04,3.17023099e-04,-3.28600898e-01
1.92000000e-02,1.44000000e-02,0.00000000e+00,9.91671920e-01,3.52189580e-01,5.98150633e-01,1.79481202e-04,-1.75357394e-04,7.24905167e+00
2.40000000e-02,1.44000000e-02,0.00000000e+00,9.82114982e-01,1.37762477e-01,5.38644028e-01,4.20007577e-04,-3.33097504e-05,-9.15063151e+00
2.88000000e-02,1.44000000e-02,0.00000000e+00,9.92390953e-01,3.02489804e-01,5.50584454e-01,1.70793933e-04,1.19758530e-04,9.17628235e+00
3.36000000e-02,1.44000000e-02,0.00000000e+00,9.91984015e-01,3.76496208e-01,4.45406403e-01,2.04728037e-04,1.79621386e-04,1.47742206e+01
