x,y,z,avg_af,avg_relV,H_index,var_af,drift_flux,avg_dPdy
0.00000000e+00,0.00000000e+00,0.00000000e+00,9.92411792e-01,4.87102037e-01,4.26071677e-01,1.76997346e-04,2.87746164e-05,1.33695136e+01
4.80000000e-03,0.00000000e+00,0.00000000e+00,9.94420572e-01,6.87351181e-01,6.72655064e-01,1.23215585e-04,1.69761493e-05,1.35545177e+01
9.60000000e-03,0.00000000e+00,0.00000000e+00,9.91758337e-01,4.55830237e-01,7.42643353e-01,1.66350992e-04,4.71353131e-05,3.75338702e+01
1.44000000e-02,0.00000000e+00,0.00000000e+00,9.89832926e-01,2.28823245e-01,6.21393502e-01,2.36840646e-04,-7.70922503e-05,1.74333670e+01
1.92000000e-02,0.00000000e+00,0.00000000e+00,9.95827543e-01,4.86874801e-01,6.52718514e-01,8.67386472e-05,-1.93643668e-05,3.27582479e+01
2.40000000e-02,0.00000000e+00,0.00000000e+00,9.93886879e-01,3.29726902e-01,7.62048433e-01,1.26604768e-04,6.43032665e-05,4.30027307e+01
2.88000000e-02,0.00000000e+00,0.00000000e+00,9.93476569e-01,2.73312252e-01,7.06289375e-01,1.43703860e-04,-1.02027288e-04,2.86154046e+01
3.36000000e-02,0.00000000e+00,0.00000000e+00,9.90512293e-01,2.46181597e-01,6.12313483e-01,2.16656185e-04,-2.74776793e-05,2.40780811e+01
0.00000000e+00,4.80000000e-03,0.00000000e+00,9.90076047e-01,4.74396723e-01,3.83761739e-01,2.44597459e-04,1.31558842e-04,-1.04682699e+01
4.80000000e-03,4.80000000e-03,0.00000000e+00,9.94827439e-01,7.30943728e-01,7.87956563e-01,1.07288156e-04,-1.83266740e-05,1.62185058e+00
9.60000000e-03,4.80000000e-03,0.00000000e+00,9.86850834e-01,3.52380604e-01,4.73971326e-01,3.14851829e-04,5.40029603e-04,-2.95620960e+01
1.44000000e-02,4.80000000e-03,0.00000000e+00,9.89965933e-01,3.09835438e-01,7.09794766e-01,2.25776010e-04,5.32605165e-05,-4.67339640e+01
1.92000000e-02,4.80000000e-03,0.00000000e+00,9.91934376e-01,5.00496587e-01,4.42738487e-01,3.08776157e-04,5.80396650e-05,-3.49459995e+01
